Property Reference Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Demand
0051.06.1645,1.0621196,4.6711497,4.5779233,-5.214182,2.2440107,-1.162172,1.7308334,2.6986163,-0.100868426,5.5290313,-7.204391,0.5391837,-1.9779562,-5.5591636,6.4986033,1.0894897,0.0
0051.06.1645,-2.0673475,4.965095,5.398975,-6.297213,2.2325425,-2.271524,-0.6172755,0.8637997,2.5607383,6.4205585,-9.712576,-2.0398698,-1.3078645,-6.544743,9.786203,0.7143348,0.0
0051.06.1645,-2.2234166,3.925488,4.6746273,-5.043368,0.9671068,0.26484,-1.064416,2.4368384,2.2598126,5.6814647,-8.050962,-2.1581755,-0.6122468,-5.685606,7.753729,1.3999885,0.0
0051.06.1645,0.5233733,5.4449816,5.1725144,-6.2087617,2.8726215,-0.6760134,1.5297205,6.7154083,0.41301408,6.303737,-8.893531,0.5481889,-2.486257,-6.4821706,7.908472,4.1419663,0.0
0051.06.1645,-1.6891812,4.2186537,4.72124,-4.8953137,1.1802409,0.19013643,-0.1811497,4.2576227,1.5795287,5.6261535,-7.842326,-1.1959136,-1.0673705,-5.671179,7.3990903,2.9207664,0.0
0051.06.1645,-0.4254003,3.9852524,4.3201213,-4.6812778,1.3295932,-0.4584321,0.65915954,3.7692335,0.8473286,5.2714963,-6.9680796,-0.632573,-1.1416391,-5.229819,6.2767367,1.8315203,0.0
0051.06.1645,-0.2359877,4.3507633,4.5691295,-4.905198,1.5030264,-0.32727656,0.8295101,2.6627405,0.6046784,5.506607,-7.3839607,-0.40470865,-1.4184743,-5.4988375,6.740389,0.8897699,0.0
0051.06.1645,-0.4219285,4.340773,4.628781,-4.9238405,1.4012176,0.23270181,0.4928194,2.548865,0.6769077,5.5944757,-7.515969,-0.589568,-1.3379453,-5.5771565,6.863005,0.6573833,0.0
0051.06.1645,-0.83932775,4.5232644,4.871233,-5.5012617,1.5941328,-0.8956747,-0.19021413,0.18469281,1.3818364,5.8916864,-8.187488,-1.300584,-1.1738219,-5.9740844,7.766319,-0.7057264,0.0
0053.61.6292,-1.6514938,3.6796758,4.0396447,-4.497535,1.0741963,-0.3317858,-0.10290511,6.6229124,2.345742,4.9950023,-7.245693,-1.8893038,-0.768633,-5.0174227,6.735979,3.743859,10.0
0053.61.6292,-1.9965502,4.1888604,4.5145,-5.1006575,1.6502522,0.1765671,-1.2097657,3.6128378,2.4581306,5.3398113,-8.3297825,-2.478737,-1.1365237,-5.57774,7.889119,1.1022295,10.0
0092.22.2130,-0.3077547,4.710538,4.6228695,-5.64122,2.5479794,-1.5078388,1.3393869,7.86476,1.3914793,5.6515126,-8.145939,-0.50933903,-1.9603353,-5.792768,7.426433,5.110582,10.0
0092.26.3101,0.5732552,4.9499345,4.91827,-5.772754,2.4491827,-0.65182775,1.4643592,4.8247356,0.37835196,5.9670215,-8.099975,0.28584495,-2.1351752,-6.0588493,7.299806,2.3018875,11.0
0092.26.3101,1.4459215,5.19496,4.9126973,-5.7008586,2.733778,-1.234205,1.7139764,1.6648003,-0.35633007,5.870077,-7.717862,0.7791496,-2.400742,-6.011588,6.9966326,0.27807015,11.0
0092.26.3101,1.6100589,5.447226,5.0789466,-5.9673977,2.9736745,-1.9906967,2.0931542,0.9422095,-0.55329937,6.094042,-7.959597,1.0108128,-2.5934644,-6.216819,7.2967706,-0.6869347,11.0
0092.26.3101,1.7001415,6.1168423,5.589298,-6.8855805,3.6653602,-2.053026,2.3765204,3.2671196,-0.5738831,6.697184,-9.196148,1.3200899,-3.1128643,-7.012884,8.242509,1.1999819,11.0
0092.26.3101,1.4956791,5.5994353,5.230232,-6.19425,3.162592,-1.9353588,1.7276304,-0.032186285,-0.54463047,6.1918793,-8.242287,0.96464604,-2.6686094,-6.4228654,7.58377,-1.3868812,11.0
